customer_id,first_name,last_name,email,phone_number,address
1,Amy,Wilson,pcortez@example.net,34442226938791,"67407 Smith Ranch
Tiffanyview, MT 76829"
2,Anne,Harrison,lrobertson@example.com,6758832460,"59749 Aaron Stream Apt. 492
Freemanchester, KY 71854"
3,John,Watkins,pkelly@example.com,9695447349,"051 Bryant Extensions Apt. 003
Laurafort, PR 05081"
4,James,Martinez,derekcarroll@example.net,2324170744359,"61899 Campbell Neck
Timothyside, LA 31649"
5,William,Thompson,mathewsdanielle@example.org,295891469339223,"87852 John Mews Apt. 133
Christopherville, AR 96796"
6,Hannah,Clarke,bryanttimothy@example.com,00150666160444466,"1512 Ryan Gateway
Meyerborough, MP 06222"
7,Gina,Mcdonald,jhernandez@example.net,20891794849169,"40092 Jared Skyway Suite 984
East Richard, GA 92507"
8,Marvin,King,dfrey@example.net,9602900168060,"7160 Johnson Rapids Apt. 541
Davismouth, AL 91297"
9,Gary,Fuller,benjamin35@example.org,7045244069946,"8871 Ryan Trace Suite 847
North Brandon, NC 93478"
10,Robert,Nelson,jdavis@example.net,00130491628819999,"3578 Anderson Fords
New Brian, FL 88762"
11,Zachary,Nguyen,haley11@example.net,7046016416206,"7346 Olson Vista Apt. 643
East Staciefurt, MD 32258"
12,Henry,Russell,gjones@example.org,75125803511978,"8661 Rebecca Terrace Suite 038
Lake Josephtown, AR 19252"
13,Lisa,Thomas,michaelbean@example.net,2775258850,"0228 Lee Radial Apt. 723
New Tylerfurt, WV 67094"
14,Heather,Adams,lawsonbradley@example.com,0015205870217,"237 Mcintyre Manors Apt. 770
Henrychester, ME 91099"
15,Sharon,Lawrence,ostuart@example.org,4815236080,"2476 Luis Inlet
Kramerfurt, GA 00945"
16,Ryan,Roy,bartonmariah@example.com,58665443969188,"USNV Knox
FPO AA 80559"
17,Bethany,Bradshaw,vanessarichard@example.net,7886922510,"283 Brittany Cliff Suite 268
Lake Laurenside, AK 55675"
18,Richard,Adams,kimwright@example.net,6373843883,"95540 William Throughway
Kleintown, CT 88866"
19,Ashley,Smith,cherylherring@example.net,0019126424698,"955 Tracey Fall Suite 967
Meghanstad, MN 30606"
20,Rodney,Martin,jcrane@example.org,97676470697210,"24051 Miller Mills
East Heather, DC 80941"
21,Kristina,Fields,christine30@example.com,61639963398394,"PSC 3700, Box 3793
APO AE 86638"
22,Carrie,Neal,livingstonelijah@example.net,6374249688,"Unit 4595 Box 2535
DPO AE 90806"
23,Jared,Evans,hardindeborah@example.org,0015378855427,"64399 Rodriguez Island Suite 251
Dixonland, MH 83575"
